"TRACT","DATE","START","END","AVAIL"
1.01,"2019-01-01",NA,NA,0
1.01,"2019-01-27",NA,NA,0
1.01,"2019-01-28",NA,NA,0
1.01,"2019-01-29",NA,NA,0
1.01,"2019-01-30",NA,NA,0
1.01,"2019-01-31",NA,NA,0
1.01,"2019-02-01",NA,NA,0
1.01,"2019-02-02",NA,NA,0
1.01,"2019-02-03",NA,NA,0
1.01,"2019-02-26",NA,NA,0
1.01,"2019-02-27",NA,NA,0
1.01,"2019-02-28",NA,NA,0
1.01,"2019-03-01",NA,NA,0
1.01,"2019-03-02",NA,NA,0
1.01,"2019-03-03",NA,NA,0
1.01,"2019-03-27",NA,NA,0
1.01,"2019-03-28",NA,NA,0
1.01,"2019-03-29",NA,NA,0
1.01,"2019-03-30",NA,NA,0
1.01,"2019-03-31",NA,NA,0
1.01,"2019-04-01",NA,NA,0
1.01,"2019-04-02",NA,NA,0
1.01,"2019-04-26",NA,NA,0
1.01,"2019-04-27",NA,NA,0
1.01,"2019-04-28",NA,NA,0
1.01,"2019-04-29","17:32:38","18:11:47",2349
1.01,"2019-04-29","18:27:14","22:00:00",12766
1.01,"2019-04-30","20:13:10","22:00:00",6410
1.01,"2019-05-01",NA,NA,0
1.01,"2019-05-02",NA,NA,0
1.01,"2019-05-03",NA,NA,0
1.01,"2019-05-04",NA,NA,0
1.01,"2019-05-05",NA,NA,0
1.01,"2019-05-27",NA,NA,0
1.01,"2019-05-28","14:29:30","16:22:26",6776
1.01,"2019-05-28","16:30:21","20:02:40",12739
1.01,"2019-05-29","14:50:16","22:00:00",25784
1.01,"2019-05-30",NA,NA,0
1.01,"2019-05-31",NA,NA,0
1.01,"2019-06-01",NA,NA,0
1.01,"2019-06-02",NA,NA,0
1.01,"2019-06-03",NA,NA,0
1.01,"2019-06-04",NA,NA,0
1.01,"2019-06-05",NA,NA,0
1.01,"2019-06-06",NA,NA,0
1.01,"2019-06-07",NA,NA,0
1.01,"2019-06-08",NA,NA,0
1.01,"2019-06-26",NA,NA,0
1.01,"2019-06-27","18:01:31","19:04:10",3759
1.01,"2019-06-27","19:22:38","22:00:00",9442
1.01,"2019-06-28","06:00:00","22:00:00",57600
1.01,"2019-06-29","20:55:41","22:00:00",3859
1.01,"2019-06-30",NA,NA,0
1.01,"2019-07-01","06:00:00","14:49:19",31759
1.01,"2019-07-02",NA,NA,0
1.01,"2019-07-03",NA,NA,0
1.01,"2019-07-04",NA,NA,0
1.01,"2019-07-27","14:48:03","22:00:00",25917
1.01,"2019-07-28","06:00:00","22:00:00",57600
1.01,"2019-07-29","06:00:00","22:00:00",57600
1.01,"2019-07-30","20:13:26","22:00:00",6394
1.01,"2019-07-31","06:00:00","22:00:00",57600
1.01,"2019-08-01","06:00:00","18:58:29",46709
1.01,"2019-08-02",NA,NA,0
1.01,"2019-08-03",NA,NA,0
1.01,"2019-08-04",NA,NA,0
1.01,"2019-08-05",NA,NA,0
1.01,"2019-08-27","20:07:37","22:00:00",6743
1.01,"2019-08-28","06:00:00","22:00:00",57600
1.01,"2019-08-29","06:00:00","15:49:51",35391
1.01,"2019-08-30","19:06:02","22:00:00",10438
1.01,"2019-08-31","18:54:35","22:00:00",11125
1.01,"2019-09-01",NA,NA,0
1.01,"2019-09-02",NA,NA,0
1.01,"2019-09-03",NA,NA,0
1.01,"2019-09-04",NA,NA,0
1.01,"2019-09-05",NA,NA,0
1.01,"2019-09-06",NA,NA,0
1.01,"2019-09-07",NA,NA,0
1.01,"2019-09-08",NA,NA,0
1.01,"2019-09-27",NA,NA,0
1.01,"2019-09-28",NA,NA,0
1.01,"2019-09-29",NA,NA,0
1.01,"2019-09-30",NA,NA,0
1.01,"2019-10-01",NA,NA,0
1.01,"2019-10-02",NA,NA,0
1.01,"2019-10-03",NA,NA,0
1.01,"2019-10-04",NA,NA,0
1.01,"2019-10-05",NA,NA,0
1.01,"2019-10-28",NA,NA,0
1.01,"2019-10-29",NA,NA,0
1.01,"2019-10-30","20:31:06","20:59:21",1695
1.01,"2019-10-31",NA,NA,0
1.01,"2019-11-01",NA,NA,0
1.01,"2019-11-02",NA,NA,0
1.01,"2019-11-03",NA,NA,0
1.01,"2019-11-04",NA,NA,0
1.01,"2019-11-05",NA,NA,0
1.02,"2019-01-01",NA,NA,0
1.02,"2019-01-27",NA,NA,0
1.02,"2019-01-28",NA,NA,0
1.02,"2019-01-29",NA,NA,0
1.02,"2019-01-30",NA,NA,0
1.02,"2019-01-31",NA,NA,0
1.02,"2019-02-01",NA,NA,0
1.02,"2019-02-02",NA,NA,0
1.02,"2019-02-03",NA,NA,0
1.02,"2019-02-26",NA,NA,0
1.02,"2019-02-27",NA,NA,0
1.02,"2019-02-28",NA,NA,0
1.02,"2019-03-01",NA,NA,0
1.02,"2019-03-02",NA,NA,0
1.02,"2019-03-03",NA,NA,0
1.02,"2019-03-27",NA,NA,0
1.02,"2019-03-28",NA,NA,0
1.02,"2019-03-29",NA,NA,0
1.02,"2019-03-30",NA,NA,0
1.02,"2019-03-31",NA,NA,0
1.02,"2019-04-01",NA,NA,0
1.02,"2019-04-02",NA,NA,0
1.02,"2019-04-26",NA,NA,0
1.02,"2019-04-27","20:23:20","22:00:00",5800
1.02,"2019-04-28",NA,NA,0
1.02,"2019-04-29",NA,NA,0
1.02,"2019-04-30",NA,NA,0
1.02,"2019-05-01",NA,NA,0
1.02,"2019-05-02",NA,NA,0
1.02,"2019-05-03",NA,NA,0
1.02,"2019-05-04",NA,NA,0
